name,birth
Charles Holt,"Hamilton, Canada"
William Austin,Canada
George Bailey,"St. John, New Brunswick, Canada"
William Armstrong,"St. John, New Brunswick, Canada"
James Helsey,Canada
William Hargrave,"Toronto, Canada"
Daniel B Harrington,"Windsor, Canada"
Charles Hanson,"Stanstead, Canada"
John Hanson,Canada
John Hawkins,Canada
Robert Greer,Canada
William Green,"Hamilton, Canada"
Francis Gilbert,Canada
Andrew Graham,"St Johns, Canada"
Charles E Gray,"Clifton, Canada"
Joseph Granier,Canada
John Gorman,Canada
Alexander Goodreau,Canada
Guy C French,Canada
Antonio French,Canada
Thomas Foster,Canada
Charles Fleming,Canada
Peter Fishell,Canada
Edward Flanigan,Canada
Charles Forrest,"New Brunswick, Canada"
William Ford,"Hamilton, Canada"
Andrew Forbes,"Woodstock, Canada"
John Flavin,"Granby, Canada"
Melvin Elmwood,"St Catharine, Canada"
Henry Fero,Canada Dunville
Jefferson Fernander,Canada
Henry Fero,Canada Dunville
Joseph Farley,"Quebec, Canada"
James Emerson,Canada
Alrick Evans,Canada
Joseph Edmonds,"Quebec, Canada"
Peter Dumars,Canada
George Dunmore,"Stanstead, Canada"
William Dunlap,Canada
Baptist Duprey,Canada
Michael Drapeau,Canada
George Edwards,Canada
Tafill Duprais,"St. Seymour, Canada"
Charles B Eaton,Canada
John Delaine,"Quebec, Canada"
James Donaldson,Canada
Charles Dixon,Canada
Thomas Donnelly,"St. John, New Brunswick, Canada"
William Dever,"Montreal, Canada"
Alexander D Cruickshanks,Canada
Luther Danforth,Canada
Sidney Davis,Canada
Francis Davenport,Canada
Orren H Anderson,"Charlotteville, Canada"
George R Anderson,Canada
John C Abel,"Montreal, Canada"
John Allen,Canada
Henry Andrews,"St. John, New Brunswick, Canada"
David Conway,Canada
Hugh F Cowley,Canada
Henry Cook,Canada
George Collins,Canada
Reuben H Corey,Canada
Edward W Corvan,Canada
Hercule Craig,Canada
Edward W Cowan,Canada
John Cooper,Canada
Melburn Mark Coombs,"Frankburg, Alberta, Canada"
Norman Wendell Coombs, Joamitt Alberta Canada
Joseph Cook,Canada
Hiram L Cook,Canada
George Craig,Canada
Lister H Van Conett,Canada
H F Cory,Canada
John Coldberth,Canada
Joseph Corbier,Canada
Peter H Conner,"St Johns, Canada"
Simeon Cranford,Canada
Frederick E Crater,Canada
Gideon Coty,Canada
John Costley,Canada
James Cramer,Canada
William D Cox,"Hudson, Canada"
John Connell,Canada
Michael Connell,Canada
Edward Conelly,Canada
Robert Coles,Canada
Edward Conolly,Canada
Louis Conway,"Montreal, Canada"
Michael Colman,Canada
Michael Connell,Canada
William Crawford,"Bismark, Canada"
Thomas Coyle,Canada
David D Coutts,Canada
Thomas Conner,Canada
Andrew M Connell,"Montreal, Canada"
Louis Contois,"Montreal, Canada"
Peter Cole,Canada
David Cote,Canada
Terance Comiskey,Canada
John W Combs,Canada
John H Court,Canada
Jerry C Conner,Canada
John H Correll,Canada
Thomas Couper,Canada
Thomas J Costello,Canada
Morgan Crane,Canada
Thomas E Conner,Canada
Leander Crandall,Canada
James Cotter,Canada
John Cole,Canada
Robert J Cole,Canada
Robert W Cole,Canada
Joseph Columbus,Canada
James Conner,Canada
Dennis Corwin,Canada
Timothy Corrin,Canada
John Compton,Canada
Nelson Contie,Canada
Hiram Covill,Canada
William Columbia,Canada
Thomas D Cory,Canada
George H Coulman,Canada
Mathew De Coto,Canada
James Collins,Canada
John M Corcoran,Canada
John Conley,Canada
John Collins,Canada
Charles Corsout,Canada
John Comlaidenoper,Canada
John Corcoran,Canada
Egra C Columbus,Canada
Albert R Cook,Canada
Arthur S Conway,"Montreal, Canada"
Edward Conner,Canada
Alexander Cook,Canada
Rudolph Cook,California
Thomas Cornwell,Canada
John A Coleman,Canada
John Conway,Canada
Benjamin Craig,"Montreal, Canada"
George H Corban,Canada
Joseph Coltson,Canada
Francis Comp,Canada
Thomas I Corning,Canada
David Cole,Canada
John Colby,Canada
Robert Cowen,Canada
John Compbell,Canada
Peter Cole,Canada
John Corelon,Canada
Anthony Connolly,Canada
Thoams H Collins,"Colburn, Canada"
Thomas Coulon,Canada
Michael H Collins,Canada
Levi A Corkins,Canada
William B Cooper,Canada
Private Wm Corney,Canada
Thomas Connely,Canada
Peter H Conner,"St Johns, Canada"
Edward S Cory,Canada
A Comriming,Canada
Elzear Conture,Canada
Henry Collins,Canada
Gideon Coty,Canada
James Copland,Canada
David Coutts,Canada
James Cornell,Canada
Stephen Mc Coy,Canada
John Costille,Canada
Charles Cotter,Canada
Elias Comfert,Canada
Timothy Corcorin,Canada
James Cotter,Canada
John Cortney,Canada
Isaac B Conner,Canada
Lawrence Crass,Canada
George R Corbett,Canada
Edwin W Crawford,Canada
George Cornell,Canada
Thomas E Coverly,Canada
Thomas Conn,Canada
Charles Cook,"St. John, New Brunswick, Canada"
Thomas Crawford,Canada
F F Cox,Canada
Edward Cole,Canada
Joseph Cotey,Canada
Alba Cole,Canada
Thomas Cotee,Canada
Geo Courtnay,Canada
James Conway,Canada
Thomas Commerford,Canada
Amos Coon,Canada
John Corr,Canada
Thomas Collins,Canada
E B Corey,Canada
Pickett Cole,Canada
Noble Cowles,Canada
Robert Commons,Canada
James Cooney,Canada
George M Cornell,Canada
Darins Collins,Canada
Michael Collins,"St Johns, Canada"
Joseph Coldwald,Canada
Henry Cole,Canada
George Collins,Canada
Joseph Colomb,Canada
Charles Colway,Canada
